Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
05-Jul-2022,,,,,,,"90,673",,
01-Jul-2022,138.93,+2.21,+1.62%,136.04,135.66,139.04,"71,051,552","9,767,979,196.00","331,045,193,122.39"
30-Jun-2022,136.72,-2.51,-1.80%,137.25,133.77,138.37,"98,964,467","13,506,275,523.00","321,277,213,926.39"
29-Jun-2022,139.23,+1.79,+1.30%,137.46,136.67,140.67,"66,242,411","9,225,825,520.00","334,783,489,449.39"
28-Jun-2022,137.44,-4.22,-2.98%,142.13,137.33,143.42,"67,315,328","9,382,084,367.00","325,557,663,929.39"
27-Jun-2022,141.66,0.00,0.00%,142.70,140.97,143.49,"70,207,908","9,972,423,267.00","334,939,748,296.39"
24-Jun-2022,141.66,+3.39,+2.45%,139.90,139.77,141.91,"89,116,837","12,550,067,140.00","324,967,325,029.39"
23-Jun-2022,138.27,+2.92,+2.16%,136.82,135.63,138.59,"72,433,768","9,944,137,810.00","312,417,257,889.39"
22-Jun-2022,135.35,-0.52,-0.38%,134.79,133.91,137.76,"73,409,234","9,973,235,832.00","302,473,120,079.39"
21-Jun-2022,135.87,+4.31,+3.28%,133.42,133.32,137.06,"81,000,488","11,003,980,595.00","312,446,355,911.39"
17-Jun-2022,131.56,+1.50,+1.15%,130.07,129.81,133.08,"134,520,290","17,688,210,038.00","301,442,375,316.39"
16-Jun-2022,130.06,-5.37,-3.97%,132.08,129.04,132.39,"107,961,508","14,084,901,022.00","283,754,165,278.39"
15-Jun-2022,135.43,+2.67,+2.01%,134.29,132.16,137.34,"91,532,972","12,322,624,328.00","297,839,066,300.39"
14-Jun-2022,132.76,+0.88,+0.67%,133.13,131.48,133.89,"84,784,326","11,240,182,447.00","285,516,441,972.39"
13-Jun-2022,131.88,-5.25,-3.83%,132.87,131.44,135.20,"122,207,099","16,269,088,361.00","274,276,259,525.39"
10-Jun-2022,137.13,-5.51,-3.86%,140.28,137.06,140.76,"91,566,637","12,652,542,418.00","290,545,347,886.39"
09-Jun-2022,142.64,-5.32,-3.60%,147.08,142.53,147.95,"69,472,976","10,096,270,215.00","303,197,890,304.39"
08-Jun-2022,147.96,-0.75,-0.50%,148.58,147.46,149.87,"53,950,201","8,017,637,218.00","313,294,160,519.39"
