Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
05-Jul-2022,,,,,,,"59,698",,
01-Jul-2022,109.56,+3.35,+3.15%,106.29,105.85,109.75,"73,021,171","7,905,072,062.00","613,360,662,871.30"
30-Jun-2022,106.21,-2.71,-2.49%,108.11,102.52,108.18,"97,679,401","10,316,642,005.00","605,455,590,809.30"
29-Jun-2022,108.92,+1.52,+1.42%,107.38,106.91,110.99,"66,375,341","7,243,420,612.00","615,772,232,814.30"
28-Jun-2022,107.40,-5.82,-5.14%,113.50,107.04,114.85,"75,172,028","8,229,772,838.00","608,528,812,202.30"
27-Jun-2022,113.22,-3.24,-2.78%,117.09,112.70,117.98,"62,133,240","7,095,836,659.00","616,758,585,040.30"
24-Jun-2022,116.46,+4.02,+3.58%,112.38,111.43,116.71,"69,867,618","8,037,157,060.00","623,854,421,699.30"
23-Jun-2022,112.44,+3.49,+3.20%,110.39,107.93,113.00,"64,345,300","7,133,610,568.00","615,817,264,639.30"
22-Jun-2022,108.95,+0.27,+0.25%,107.43,107.02,112.13,"60,040,131","6,585,095,188.00","608,683,654,071.30"
21-Jun-2022,108.68,+2.46,+2.32%,108.20,103.56,111.63,"70,901,245","7,751,455,589.00","602,098,558,883.30"
17-Jun-2022,106.22,+2.56,+2.47%,102.80,102.51,106.98,"99,772,147","10,528,234,297.00","594,347,103,294.30"
16-Jun-2022,103.66,-4.01,-3.72%,104.47,102.01,104.58,"82,186,301","8,496,049,841.00","583,818,868,997.30"
15-Jun-2022,107.67,+5.36,+5.24%,103.86,103.53,109.06,"85,011,060","9,032,050,809.00","592,314,918,838.30"
14-Jun-2022,102.31,-1.36,-1.31%,104.19,101.43,104.88,"69,728,761","7,184,603,523.00","583,282,868,029.30"
13-Jun-2022,103.67,-5.98,-5.45%,104.19,101.86,106.54,"99,277,742","10,319,419,527.00","590,467,471,552.30"
10-Jun-2022,109.65,-6.50,-5.60%,113.42,109.05,114.50,"87,412,245","9,657,686,014.00","600,786,891,079.30"
09-Jun-2022,116.15,-5.03,-4.15%,119.99,116.10,121.30,"67,029,842","7,965,308,385.00","610,444,577,093.30"
08-Jun-2022,121.18,-1.82,-1.48%,122.61,120.75,123.75,"64,926,594","7,919,456,300.00","618,409,885,478.30"
07-Jun-2022,123.00,-1.79,-1.43%,122.01,120.63,124.10,"85,156,712","10,415,688,887.00","626,329,341,778.30"
06-Jun-2022,124.79,+2.44,+1.99%,125.25,123.81,128.99,"135,269,024","17,035,767,183.00","636,745,030,665.30"
03-Jun-2022,122.35,-3.16,-2.52%,124.20,121.05,124.40,"97,603,320","11,968,639,770.00","619,709,263,482.30"
02-Jun-2022,125.51,+3.83,+3.15%,121.68,120.05,125.61,"100,560,680","12,410,585,471.00","631,677,903,252.30"
01-Jun-2022,121.68,+1.47,+1.23%,122.26,120.62,125.18,"127,528,980","15,641,665,922.00","619,267,317,781.30"
31-May-2022,120.21,+5.06,+4.40%,116.28,115.68,121.99,"144,634,160","17,241,171,276.00","603,625,651,859.30"
27-May-2022,115.15,+4.07,+3.66%,113.55,112.63,115.19,"93,660,160","10,671,639,673.00","586,384,480,583.30"
26-May-2022,111.08,+4.30,+4.03%,107.97,107.45,112.67,"93,002,600","10,313,720,906.00","575,712,840,910.30"
25-May-2022,106.78,+2.68,+2.57%,103.66,103.65,108.17,"93,120,100","9,915,862,864.00","565,399,120,004.30"
24-May-2022,104.10,-3.46,-3.21%,104.03,101.26,105.40,"102,934,680","10,657,573,465.00","555,483,257,140.30"
23-May-2022,107.56,-0.03,-0.03%,108.46,103.95,108.82,"107,797,360","11,454,121,885.00","566,140,830,605.30"
20-May-2022,107.59,+0.27,+0.25%,109.57,105.01,109.90,"99,500,640","10,676,420,606.00","577,594,952,490.30"
19-May-2022,107.32,+0.21,+0.19%,106.28,106.19,110.03,"88,142,540","9,531,960,589.00","566,918,531,884.30"
18-May-2022,107.11,-8.26,-7.16%,111.44,106.25,112.85,"108,379,180","11,806,739,861.00","557,386,571,295.30"
17-May-2022,115.37,+4.56,+4.11%,113.28,111.28,115.80,"76,447,740","8,680,247,206.00","569,193,311,156.30"
16-May-2022,110.81,-2.24,-1.99%,113.10,110.35,113.99,"74,565,740","8,322,045,437.00","560,513,063,950.30"
13-May-2022,113.06,+6.12,+5.73%,109.07,107.80,113.18,"93,684,560","10,436,146,749.00","568,835,109,387.30"
12-May-2022,106.93,+1.56,+1.48%,102.75,102.41,110.78,"132,025,140","14,056,511,093.00","558,398,962,638.30"
11-May-2022,105.37,-3.49,-3.20%,108.10,104.43,110.16,"109,703,640","11,717,677,537.00","544,342,451,545.30"
10-May-2022,108.86,+0.07,+0.06%,111.25,107.17,112.64,"105,433,820","11,535,214,451.00","556,060,129,082.30"
09-May-2022,108.79,-5.98,-5.21%,111.31,107.96,114.00,"128,124,380","14,164,156,531.00","544,524,914,631.30"
06-May-2022,114.77,-1.63,-1.40%,114.85,113.08,119.05,"124,259,900","14,324,033,997.00","558,689,071,162.30"
05-May-2022,116.41,-9.52,-7.56%,123.00,115.07,123.50,"144,391,220","16,969,831,357.00","573,013,105,159.30"
04-May-2022,125.93,+1.68,+1.35%,123.60,119.18,126.00,"110,745,360","13,562,620,186.00","589,982,936,516.30"
03-May-2022,124.25,-0.25,-0.20%,124.05,122.83,126.22,"79,133,360","9,839,387,524.00","576,420,316,330.30"
02-May-2022,124.50,+0.22,+0.18%,122.40,118.38,124.67,"148,788,980","18,088,989,959.00","586,259,703,854.30"
29-Apr-2022,124.28,-20.32,-14.05%,129.85,121.63,130.76,"272,661,720","34,294,887,876.00","568,170,713,895.30"
