Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
05-Jul-2022,,,,,,,"3,017",,
01-Jul-2022,"2,174.75",-4.51,-0.21%,"2,158.66","2,134.61","2,185.00","1,773,783","3,831,173,947.00","200,620,243,641.26"
30-Jun-2022,"2,179.26",-54.77,-2.45%,"2,200.00","2,135.00","2,217.76","2,158,453","4,703,592,888.00","204,451,417,588.26"
29-Jun-2022,"2,234.03",-6.12,-0.27%,"2,231.04","2,217.45","2,263.21","1,235,841","2,760,435,701.00","209,155,010,476.26"
28-Jun-2022,"2,240.15",-76.52,-3.30%,"2,316.05","2,236.96","2,346.19","1,794,048","4,069,185,245.00","211,915,446,177.26"
27-Jun-2022,"2,316.67",-42.83,-1.82%,"2,365.46","2,303.59","2,371.59","1,821,038","4,245,575,369.00","215,984,631,422.26"
24-Jun-2022,"2,359.50",+114.66,+5.11%,"2,259.90","2,259.05","2,361.58","2,058,184","4,803,029,590.00","220,230,206,791.26"
23-Jun-2022,"2,244.84",+15.09,+0.68%,"2,244.63","2,210.01","2,254.85","1,418,096","3,171,893,149.00","215,427,177,201.26"
22-Jun-2022,"2,229.75",-1.13,-0.05%,"2,211.13","2,207.65","2,266.93","1,538,707","3,445,981,729.00","212,255,284,052.26"
21-Jun-2022,"2,230.88",+88.01,+4.11%,"2,178.59","2,172.00","2,249.79","2,370,790","5,284,561,667.00","215,701,265,781.26"
17-Jun-2022,"2,142.87",+22.20,+1.05%,"2,120.67","2,100.92","2,173.99","2,568,826","5,495,656,511.00","210,416,704,114.26"
16-Jun-2022,"2,120.67",-74.62,-3.40%,"2,144.42","2,102.76","2,172.97","2,584,248","5,501,283,847.00","204,921,047,603.26"
15-Jun-2022,"2,195.29",+60.98,+2.86%,"2,170.90","2,153.39","2,228.47","1,984,909","4,338,423,272.00","210,422,331,450.26"
14-Jun-2022,"2,134.31",+6.46,+0.30%,"2,130.70","2,116.00","2,158.49","1,685,313","3,598,753,860.00","206,083,908,178.26"
13-Jun-2022,"2,127.85",-95.38,-4.29%,"2,135.73","2,122.38","2,175.83","2,362,596","5,061,395,827.00","202,485,154,318.26"
10-Jun-2022,"2,223.23",-73.48,-3.20%,"2,248.90","2,207.32","2,265.58","2,074,092","4,624,120,629.00","207,546,550,145.26"
09-Jun-2022,"2,296.71",-47.17,-2.01%,"2,326.55","2,295.52","2,365.98","1,289,898","3,003,468,049.00","212,170,670,774.26"
08-Jun-2022,"2,343.88",+0.89,+0.04%,"2,335.23","2,332.00","2,371.41","1,305,387","3,066,667,259.00","215,174,138,823.26"
07-Jun-2022,"2,342.99",+6.58,+0.28%,"2,309.61","2,301.04","2,353.82","1,579,523","3,689,926,174.00","212,107,471,564.26"
06-Jun-2022,"2,336.41",+45.59,+1.99%,"2,334.09","2,323.28","2,386.94","1,677,077","3,936,500,826.00","208,417,545,390.26"
03-Jun-2022,"2,290.82",-61.63,-2.62%,"2,321.25","2,270.37","2,326.43","1,306,773","2,995,290,592.00","204,481,044,564.26"
02-Jun-2022,"2,352.45",+74.61,+3.28%,"2,280.00","2,258.93","2,357.99","1,899,614","4,414,919,397.00","207,476,335,156.26"
01-Jun-2022,"2,277.84",+2.60,+0.11%,"2,297.10","2,265.00","2,342.03","1,830,276","4,199,756,176.00","203,061,415,759.26"
31-May-2022,"2,275.24",+28.91,+1.29%,"2,254.93","2,241.57","2,314.70","2,500,613","5,698,602,540.00","198,861,659,583.26"
27-May-2022,"2,246.33",+90.48,+4.20%,"2,189.66","2,182.77","2,246.36","1,895,706","4,227,878,893.00","193,163,057,043.26"
26-May-2022,"2,155.85",+39.75,+1.88%,"2,113.54","2,104.50","2,172.99","1,897,361","4,083,468,884.00","188,935,178,150.26"
25-May-2022,"2,116.10",-3.30,-0.16%,"2,099.71","2,077.13","2,130.00","2,012,867","4,242,911,830.00","184,851,709,266.26"
24-May-2022,"2,119.40",-110.36,-4.95%,"2,115.44","2,037.69","2,129.17","3,838,989","8,023,793,033.00","189,094,621,096.26"
23-May-2022,"2,229.76",+51.60,+2.37%,"2,191.75","2,174.82","2,242.95","1,859,247","4,116,544,084.00","197,118,414,129.26"
20-May-2022,"2,178.16",-29.52,-1.34%,"2,239.02","2,115.93","2,243.67","2,448,148","5,296,726,253.00","193,001,870,045.26"
19-May-2022,"2,207.68",-30.31,-1.35%,"2,228.63","2,200.00","2,260.20","1,707,220","3,798,053,725.00","198,298,596,298.26"
18-May-2022,"2,237.99",-91.47,-3.93%,"2,300.00","2,231.11","2,308.00","1,756,299","3,966,476,216.00","202,096,650,023.26"
17-May-2022,"2,329.46",+40.56,+1.77%,"2,336.81","2,297.40","2,338.00","1,152,658","2,675,352,071.00","206,063,126,239.26"
16-May-2022,"2,288.90",-32.11,-1.38%,"2,299.11","2,277.79","2,323.40","1,299,522","2,980,829,435.00","203,387,774,168.26"
13-May-2022,"2,321.01",+64.13,+2.84%,"2,290.66","2,272.10","2,357.50","1,751,924","4,063,711,349.00","206,368,603,603.26"
12-May-2022,"2,256.88",-15.17,-0.67%,"2,227.55","2,196.49","2,285.90","2,691,809","6,031,848,640.00","202,304,892,254.26"
11-May-2022,"2,272.05",-15.85,-0.69%,"2,264.73","2,264.73","2,327.29","1,876,737","4,290,940,567.00","208,336,740,894.26"
10-May-2022,"2,287.90",+37.68,+1.67%,"2,310.15","2,258.01","2,325.00","1,995,019","4,579,527,733.00","212,627,681,461.26"
