Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
05-Jul-2022,,,,,,,"31,208",,
01-Jul-2022,160.03,-1.22,-0.76%,160.31,155.00,160.62,"31,423,933","4,958,287,876.00","142,463,940,165.52"
30-Jun-2022,161.25,-2.69,-1.64%,162.15,158.49,165.23,"35,250,605","5,719,606,842.00","147,422,228,041.52"
29-Jun-2022,163.94,+3.26,+2.03%,163.57,160.32,166.33,"28,595,236","4,673,242,984.00","153,141,834,883.52"
28-Jun-2022,160.68,-8.81,-5.20%,169.90,160.61,171.30,"27,788,725","4,582,197,385.00","148,468,591,899.52"
27-Jun-2022,169.49,-0.67,-0.39%,171.32,168.01,171.75,"29,174,559","4,947,642,520.00","153,050,789,284.52"
24-Jun-2022,170.16,+11.41,+7.19%,161.73,161.30,170.25,"68,736,009","11,585,796,131.00","157,998,431,804.52"
23-Jun-2022,158.75,+2.90,+1.86%,156.27,154.25,159.75,"40,499,198","6,370,561,286.00","146,412,635,673.52"
22-Jun-2022,155.85,-1.20,-0.76%,158.38,155.44,160.79,"47,596,820","7,531,502,394.00","140,042,074,387.52"
21-Jun-2022,157.05,-6.69,-4.09%,165.93,155.97,167.76,"50,724,899","8,121,948,545.00","147,573,576,781.52"
17-Jun-2022,163.74,+2.87,+1.78%,161.68,159.90,165.90,"31,374,215","5,123,589,860.00","155,695,525,326.52"
16-Jun-2022,160.87,-8.48,-5.01%,163.72,159.61,165.08,"26,944,143","4,343,009,631.00","150,571,935,466.52"
15-Jun-2022,169.35,+5.62,+3.43%,167.20,163.98,172.16,"30,008,251","5,027,967,995.00","154,914,945,097.52"
14-Jun-2022,163.73,-0.53,-0.32%,166.03,161.36,166.75,"27,244,274","4,462,499,058.00","149,886,977,102.52"
13-Jun-2022,164.26,-11.31,-6.44%,170.59,164.03,172.58,"31,749,304","5,309,879,363.00","154,349,476,160.52"
10-Jun-2022,175.57,-8.43,-4.58%,183.04,175.02,183.10,"27,478,354","4,872,835,139.00","159,659,355,523.52"
09-Jun-2022,184.00,-12.64,-6.43%,194.28,183.68,199.45,"23,501,579","4,482,892,868.00","164,532,190,662.52"
08-Jun-2022,196.64,+0.99,+0.51%,194.67,194.41,202.03,"22,267,154","4,416,942,141.00","169,015,083,530.52"
07-Jun-2022,195.65,+1.40,+0.72%,191.93,191.49,196.53,"18,828,687","3,661,235,126.00","164,598,141,389.52"
06-Jun-2022,194.25,+3.47,+1.82%,193.99,188.40,196.92,"30,574,242","5,909,565,003.00","160,936,906,263.52"
03-Jun-2022,190.78,-8.08,-4.06%,195.98,189.78,196.61,"19,464,993","3,739,001,475.00","155,027,341,260.52"
02-Jun-2022,198.86,+10.22,+5.42%,188.45,187.73,200.94,"31,951,582","6,256,420,393.00","158,766,342,735.52"
01-Jun-2022,188.64,-5.00,-2.58%,196.51,185.00,199.53,"36,623,495","7,008,841,678.00","152,509,922,342.52"
31-May-2022,193.64,-1.49,-0.76%,194.89,192.01,197.60,"26,131,103","5,090,599,064.00","159,518,764,020.52"
27-May-2022,195.13,+3.50,+1.83%,191.36,189.80,195.33,"22,562,727","4,365,131,150.00","164,609,363,084.52"
26-May-2022,191.63,+7.80,+4.24%,182.88,182.26,192.83,"23,056,455","4,369,140,921.00","160,244,231,934.52"
25-May-2022,183.83,+2.55,+1.41%,180.40,179.32,185.45,"28,030,194","5,114,572,823.00","155,875,091,013.52"
24-May-2022,181.28,-14.95,-7.62%,180.55,176.11,183.68,"50,406,273","9,031,171,151.00","150,760,518,190.52"
23-May-2022,196.23,+2.69,+1.39%,195.19,191.24,196.99,"25,059,161","4,855,183,589.00","159,791,689,341.52"
20-May-2022,193.54,+2.25,+1.18%,194.97,187.87,197.91,"31,465,570","6,067,565,479.00","154,936,505,752.52"
19-May-2022,191.29,-0.95,-0.49%,191.20,189.60,195.29,"24,446,938","4,708,837,474.00","148,868,940,273.52"
18-May-2022,192.24,-10.38,-5.12%,200.00,191.63,201.00,"23,959,966","4,688,966,431.00","153,577,777,747.52"
17-May-2022,202.62,+2.58,+1.29%,202.12,198.36,205.46,"24,872,729","5,024,356,278.00","158,266,744,178.52"
16-May-2022,200.04,+1.42,+0.71%,197.05,195.93,205.37,"27,112,595","5,455,702,412.00","153,242,387,900.52"
13-May-2022,198.62,+7.38,+3.86%,192.58,191.28,199.89,"24,549,844","4,839,981,845.00","147,786,685,488.52"
