Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
05-Jul-2022,,,,,,,"12,854",,
01-Jul-2022,259.58,+2.75,+1.07%,256.39,254.61,259.77,"22,837,692","5,887,083,100.00","376,158,557,850.80"
30-Jun-2022,256.83,-3.43,-1.32%,257.05,252.90,259.53,"31,730,868","8,146,273,747.00","370,271,474,750.80"
29-Jun-2022,260.26,+3.78,+1.47%,257.59,255.76,261.97,"20,069,839","5,219,315,595.00","378,417,748,497.80"
28-Jun-2022,256.48,-8.41,-3.17%,263.98,256.32,266.91,"27,380,247","7,095,054,253.00","373,198,432,902.80"
27-Jun-2022,264.89,-2.81,-1.05%,268.21,263.28,268.30,"24,615,114","6,529,337,990.00","380,293,487,155.80"
24-Jun-2022,267.70,+8.84,+3.41%,261.81,261.72,267.98,"33,923,231","9,022,594,287.00","386,822,825,145.80"
23-Jun-2022,258.86,+5.73,+2.26%,255.57,253.63,259.37,"25,861,449","6,652,209,476.00","377,800,230,858.80"
22-Jun-2022,253.13,-0.61,-0.24%,251.89,250.37,257.17,"25,961,215","6,598,659,699.00","371,148,021,382.80"
21-Jun-2022,253.74,+6.09,+2.46%,250.26,249.51,254.75,"29,928,297","7,584,692,378.00","377,746,681,081.80"
17-Jun-2022,247.65,+2.68,+1.09%,244.70,244.03,250.50,"43,084,780","10,657,558,700.00","370,161,988,703.80"
16-Jun-2022,244.97,-6.79,-2.70%,245.98,243.02,247.42,"33,169,160","8,122,298,229.00","359,504,430,003.80"
15-Jun-2022,251.76,+7.27,+2.97%,248.31,246.42,255.30,"33,111,729","8,298,999,978.00","367,626,728,232.80"
14-Jun-2022,244.49,+2.23,+0.92%,243.86,241.51,245.74,"28,651,487","6,985,010,114.00","359,327,728,254.80"
13-Jun-2022,242.26,-10.73,-4.24%,245.11,241.53,249.02,"46,135,788","11,270,090,600.00","352,342,718,140.80"
10-Jun-2022,252.99,-11.80,-4.46%,260.58,252.53,260.58,"31,445,841","8,018,271,133.00","363,612,808,740.80"
09-Jun-2022,264.79,-5.62,-2.08%,267.78,264.63,272.71,"26,439,728","7,086,384,620.00","371,631,079,873.80"
08-Jun-2022,270.41,-2.09,-0.77%,271.71,269.61,273.00,"17,372,341","4,710,542,639.00","378,717,464,493.80"
07-Jun-2022,272.50,+3.75,+1.40%,266.64,265.94,273.13,"22,860,677","6,188,308,989.00","383,428,007,132.80"
06-Jun-2022,268.75,-1.27,-0.47%,272.06,267.22,274.18,"22,400,342","6,049,799,408.00","377,239,698,143.80"
03-Jun-2022,270.02,-4.56,-1.66%,270.31,268.41,273.45,"28,058,958","7,585,120,417.00","383,289,497,551.80"
02-Jun-2022,274.58,+2.16,+0.79%,264.45,261.60,274.65,"44,008,209","11,839,170,628.00","390,874,617,968.80"
01-Jun-2022,272.42,+0.55,+0.20%,275.20,270.04,277.69,"25,292,174","6,913,101,957.00","379,035,447,340.80"
31-May-2022,271.87,-1.37,-0.50%,272.53,268.93,274.77,"37,827,695","10,289,173,008.00","372,122,345,383.80"
27-May-2022,273.24,+7.34,+2.76%,268.48,267.56,273.34,"26,910,806","7,310,396,585.00","382,411,518,391.80"
26-May-2022,265.90,+3.38,+1.29%,262.27,261.43,267.11,"25,002,105","6,632,604,594.00","375,101,121,806.80"
25-May-2022,262.52,+2.90,+1.12%,258.14,257.13,264.58,"28,547,947","7,449,602,530.00","368,468,517,212.80"
24-May-2022,259.62,-1.03,-0.40%,257.89,253.50,261.33,"29,043,904","7,489,850,703.00","361,018,914,682.80"
23-May-2022,260.65,+8.09,+3.20%,255.49,253.43,261.50,"33,175,379","8,589,825,411.00","368,508,765,385.80"
20-May-2022,252.56,-0.58,-0.23%,257.24,246.44,258.54,"39,199,279","9,860,730,903.00","359,918,939,974.80"
19-May-2022,253.14,-0.94,-0.37%,253.90,251.88,257.67,"32,692,286","8,316,998,709.00","369,779,670,877.80"
18-May-2022,254.08,-12.74,-4.77%,263.00,252.77,263.60,"31,355,985","8,040,302,708.00","378,096,669,586.80"
17-May-2022,266.82,+5.32,+2.03%,266.11,262.46,268.33,"28,828,799","7,655,728,657.00","386,136,972,294.80"
16-May-2022,261.50,+0.38,+0.15%,259.96,255.78,265.82,"32,550,933","8,490,582,545.00","378,481,243,637.80"
13-May-2022,261.12,+5.77,+2.26%,257.35,255.35,263.04,"34,925,093","9,086,515,498.00","369,990,661,092.80"
