Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
05-Jul-2022,,,,,,,"110,163",,
01-Jul-2022,145.23,-6.36,-4.20%,148.99,143.92,150.63,"57,761,008","8,445,222,211.00","324,218,710,742.49"
30-Jun-2022,151.59,-3.83,-2.46%,153.61,148.62,155.67,"68,607,003","10,431,301,519.00","332,663,932,953.49"
29-Jun-2022,155.42,-4.40,-2.75%,158.14,151.70,158.20,"48,235,228","7,452,271,866.00","343,095,234,472.49"
28-Jun-2022,159.82,-8.87,-5.26%,169.00,159.45,172.02,"46,185,936","7,551,533,235.00","350,547,506,338.49"
27-Jun-2022,168.69,-2.57,-1.50%,173.12,166.26,173.30,"42,796,788","7,246,260,908.00","358,099,039,573.49"
24-Jun-2022,171.26,+9.01,+5.55%,165.00,163.10,171.40,"47,215,283","7,961,731,135.00","365,345,300,481.49"
23-Jun-2022,162.25,-1.35,-0.83%,165.19,158.53,165.85,"46,367,959","7,489,211,192.00","357,383,569,346.49"
22-Jun-2022,163.60,-2.06,-1.24%,162.26,161.80,166.62,"43,799,744","7,201,530,850.00","364,872,780,538.49"
21-Jun-2022,165.66,+6.86,+4.32%,164.75,164.07,170.08,"48,308,888","8,094,232,063.00","372,074,311,388.49"
17-Jun-2022,158.80,+2.79,+1.79%,156.48,153.28,159.95,"63,033,397","9,947,680,410.00","363,980,079,325.49"
16-Jun-2022,156.01,-9.26,-5.60%,158.60,154.01,159.42,"54,574,867","8,512,299,795.00","354,032,398,915.49"
15-Jun-2022,165.27,+6.91,+4.36%,160.95,159.26,168.68,"56,393,565","9,218,557,363.00","362,544,698,710.49"
14-Jun-2022,158.36,+1.89,+1.21%,157.31,154.12,160.66,"46,967,952","7,403,983,341.00","353,326,141,347.49"
13-Jun-2022,156.47,-13.27,-7.82%,160.00,156.06,163.12,"60,415,338","9,586,789,798.00","345,922,158,006.49"
10-Jun-2022,169.74,-10.74,-5.95%,176.00,168.69,176.97,"46,564,966","7,983,230,197.00","355,508,947,804.49"
09-Jun-2022,180.48,-6.00,-3.22%,184.81,180.41,189.33,"39,557,379","7,323,576,804.00","363,492,178,001.49"
08-Jun-2022,186.48,-2.78,-1.47%,187.99,185.35,191.80,"36,325,246","6,833,194,066.00","370,815,754,805.49"
07-Jun-2022,189.26,+1.40,+0.75%,184.72,181.88,190.00,"38,891,411","7,283,591,020.00","377,648,948,871.49"
06-Jun-2022,187.86,+0.66,+0.35%,191.39,185.64,193.37,"42,240,615","7,988,817,971.00","370,365,357,851.49"
03-Jun-2022,187.20,-8.72,-4.45%,190.82,185.22,193.32,"59,877,870","11,295,449,723.00","362,376,539,880.49"
02-Jun-2022,195.92,+12.72,+6.94%,182.92,181.98,196.19,"64,865,580","12,452,613,393.00","373,671,989,603.49"
01-Jun-2022,183.20,-3.52,-1.89%,187.24,181.22,190.53,"54,451,390","10,097,380,307.00","361,219,376,210.49"
31-May-2022,186.72,-1.39,-0.74%,189.80,183.50,192.00,"66,409,951","12,449,469,069.00","371,316,756,517.49"
27-May-2022,188.11,+9.60,+5.38%,181.86,181.00,188.81,"73,837,935","13,697,766,434.00","383,766,225,586.49"
26-May-2022,178.51,+8.76,+5.16%,160.36,160.22,180.92,"99,657,452","17,408,127,131.00","370,068,459,152.49"
25-May-2022,169.75,+8.21,+5.08%,160.20,160.00,171.11,"78,113,190","12,944,632,527.00","352,660,332,021.49"
24-May-2022,161.54,-7.44,-4.40%,165.10,157.80,165.97,"58,855,002","9,489,763,300.00","339,715,699,494.49"
23-May-2022,168.98,+2.04,+1.22%,162.74,161.79,169.15,"63,988,869","10,651,554,878.00","349,205,462,794.49"
20-May-2022,166.94,-4.30,-2.51%,173.32,157.55,174.10,"73,910,526","12,113,309,479.00","338,553,907,916.49"
19-May-2022,171.24,+1.86,+1.10%,169.37,167.34,176.87,"62,130,959","10,735,051,197.00","350,667,217,395.49"
18-May-2022,169.38,-12.39,-6.82%,177.05,168.64,181.18,"54,516,106","9,467,213,314.00","339,932,166,198.49"
17-May-2022,181.77,+9.13,+5.29%,180.74,176.34,183.71,"58,582,971","10,549,670,577.00","349,399,379,512.49"
16-May-2022,172.64,-4.42,-2.50%,175.09,171.06,177.88,"52,144,598","9,096,575,410.00","338,849,708,935.49"
13-May-2022,177.06,+15.31,+9.47%,167.88,165.93,179.28,"67,043,651","11,722,363,178.00","347,946,284,345.49"
