Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
05-Jul-2022,,,,,,,30,,
01-Jul-2022,169.39,+2.73,+1.64%,166.74,165.76,169.52,"3,918,710","660,172,441.00","59,390,989,667.47"
30-Jun-2022,166.66,-0.07,-0.04%,167.13,165.63,167.58,"6,295,089","1,048,543,923.00","58,730,817,226.47"
29-Jun-2022,166.73,+2.72,+1.66%,166.06,165.35,167.56,"3,653,622","608,968,439.00","59,779,361,149.47"
28-Jun-2022,164.01,-2.34,-1.41%,167.15,163.85,168.45,"4,391,330","725,867,536.00","59,170,392,710.47"
27-Jun-2022,166.35,+0.22,+0.13%,165.87,165.34,167.13,"4,595,815","764,190,101.00","59,896,260,246.47"
24-Jun-2022,166.13,+2.03,+1.24%,165.64,163.94,166.19,"5,951,692","985,391,125.00","59,132,070,145.47"
23-Jun-2022,164.10,+2.07,+1.28%,163.78,163.15,165.14,"5,810,719","952,606,373.00","58,146,679,020.47"
22-Jun-2022,162.03,+1.32,+0.82%,160.33,159.56,162.99,"4,706,643","761,853,007.00","57,194,072,647.47"
21-Jun-2022,160.71,+3.65,+2.32%,158.17,157.35,160.96,"4,449,779","711,832,899.00","56,432,219,640.47"
17-Jun-2022,157.06,+0.03,+0.02%,157.03,156.17,158.99,"9,881,835","1,552,966,975.00","55,720,386,741.47"
16-Jun-2022,157.03,-0.76,-0.48%,156.63,155.11,158.46,"7,207,930","1,132,653,826.00","54,167,419,766.47"
15-Jun-2022,157.79,+1.67,+1.07%,157.92,155.93,159.84,"5,940,075","938,273,377.00","55,300,073,592.47"
14-Jun-2022,156.12,-3.62,-2.27%,160.00,154.86,160.05,"6,159,174","964,148,034.00","54,361,800,215.47"
13-Jun-2022,159.74,-2.78,-1.71%,160.53,159.06,162.87,"6,300,708","1,012,101,078.00","55,325,948,249.47"
10-Jun-2022,162.52,-0.26,-0.16%,160.97,159.45,163.92,"5,204,718","846,410,341.00","56,338,049,327.47"
09-Jun-2022,162.78,-2.95,-1.78%,165.19,162.67,166.93,"3,522,973","578,473,316.00","57,184,459,668.47"
08-Jun-2022,165.73,-0.83,-0.50%,165.74,165.11,166.81,"2,646,900","439,142,539.00","57,762,932,984.47"
07-Jun-2022,166.56,+1.02,+0.62%,165.68,164.22,166.86,"4,168,296","692,158,063.00","58,202,075,523.47"
06-Jun-2022,165.54,+0.69,+0.42%,166.46,164.73,167.62,"3,447,947","572,125,681.00","57,509,917,460.47"
03-Jun-2022,164.85,-1.83,-1.10%,165.86,164.36,166.59,"4,222,131","696,869,768.00","56,937,791,779.47"
02-Jun-2022,166.68,+0.19,+0.11%,165.62,162.65,166.75,"4,677,458","773,782,550.00","57,634,661,547.47"
01-Jun-2022,166.49,-1.26,-0.75%,168.18,163.82,168.38,"5,613,940","931,842,609.00","56,860,878,997.47"
31-May-2022,167.75,-4.02,-2.34%,170.98,165.37,170.98,"13,609,993","2,281,432,741.00","57,792,721,606.47"
27-May-2022,171.77,+1.66,+0.98%,171.26,170.20,171.81,"6,713,600","1,149,919,001.00","60,074,154,347.47"
26-May-2022,170.11,+1.14,+0.67%,168.96,168.96,171.09,"5,193,863","883,721,868.00","58,924,235,346.47"
25-May-2022,168.97,+1.15,+0.69%,167.85,166.96,169.49,"5,781,034","974,996,223.00","58,040,513,478.47"
24-May-2022,167.82,+2.22,+1.34%,166.02,165.16,168.26,"6,327,782","1,056,040,008.00","57,065,517,255.47"
23-May-2022,165.60,+3.39,+2.09%,164.21,163.57,166.95,"4,657,761","771,346,503.00","56,009,477,247.47"
20-May-2022,162.21,+1.01,+0.63%,162.24,159.62,163.06,"5,768,823","931,879,282.00","55,238,130,744.47"
19-May-2022,161.20,-2.45,-1.50%,162.50,159.67,162.78,"6,423,817","1,035,302,020.00","54,306,251,462.47"
18-May-2022,163.65,-10.81,-6.20%,173.69,162.92,173.87,"8,875,409","1,468,798,399.00","55,341,553,482.47"
17-May-2022,174.46,-1.01,-0.58%,175.31,172.58,175.68,"5,012,159","873,667,269.00","56,810,351,881.47"
16-May-2022,175.47,+1.75,+1.01%,173.71,173.42,176.30,"5,317,216","932,056,607.00","57,684,019,150.47"
13-May-2022,173.72,+3.32,+1.95%,170.70,169.46,174.16,"4,714,614","813,251,379.00","56,751,962,543.47"
12-May-2022,170.40,-0.26,-0.15%,171.25,168.16,171.99,"6,473,535","1,100,615,802.00","55,938,711,164.47"
11-May-2022,170.66,-0.83,-0.48%,170.82,169.92,172.41,"5,376,851","919,141,774.00","57,039,326,966.47"
10-May-2022,171.49,-0.21,-0.12%,173.12,170.75,174.54,"5,936,727","1,020,824,187.00","57,958,468,740.47"
09-May-2022,171.70,+1.29,+0.76%,169.66,168.76,172.89,"7,269,081","1,243,944,587.00","58,979,292,927.47"
06-May-2022,170.41,+0.02,+0.01%,169.24,168.72,170.80,"5,824,752","989,984,136.00","57,735,348,340.47"
05-May-2022,170.39,-3.47,-2.00%,173.10,169.08,173.32,"6,534,321","1,115,987,147.00","56,745,364,204.47"
04-May-2022,173.86,+5.87,+3.49%,167.61,167.61,174.12,"6,231,681","1,073,780,711.00","57,861,351,351.47"
03-May-2022,167.99,+0.23,+0.14%,169.14,166.58,169.31,"5,564,864","934,263,331.00","56,787,570,640.47"
02-May-2022,167.76,-3.95,-2.30%,173.00,165.27,173.46,"7,692,131","1,294,652,394.00","55,853,307,309.47"
