Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
05-Jul-2022,,,,,,,"121,843",,
01-Jul-2022,681.79,+8.37,+1.24%,681.00,666.36,690.69,"24,820,148","16,797,810,594.00","1,459,038,341,656.67"
30-Jun-2022,673.42,-12.05,-1.76%,673.53,656.59,688.37,"31,533,484","21,272,430,113.00","1,442,240,531,062.67"
29-Jun-2022,685.47,-12.52,-1.79%,691.50,666.82,693.52,"27,632,418","18,756,986,507.00","1,463,512,961,175.67"
28-Jun-2022,697.99,-36.77,-5.00%,733.45,697.03,749.91,"30,222,167","21,717,506,508.00","1,482,269,947,682.67"
27-Jun-2022,734.76,-2.36,-0.32%,748.10,727.70,756.21,"29,726,104","21,949,300,433.00","1,503,987,454,190.67"
24-Jun-2022,737.12,+31.91,+4.52%,712.41,708.26,738.20,"31,923,565","23,318,248,113.00","1,525,936,754,623.67"
23-Jun-2022,705.21,-3.05,-0.43%,713.72,685.91,717.95,"34,734,226","24,388,956,039.00","1,502,618,506,510.67"
22-Jun-2022,708.26,-2.85,-0.40%,703.51,701.48,740.50,"33,842,420","24,321,592,065.00","1,527,007,462,549.67"
21-Jun-2022,711.11,+60.83,+9.35%,673.81,673.00,730.73,"40,930,985","29,175,733,432.00","1,551,329,054,614.67"
17-Jun-2022,650.28,+10.98,+1.72%,640.30,639.59,662.91,"30,880,590","20,088,151,064.00","1,522,153,321,182.67"
16-Jun-2022,639.30,-59.70,-8.54%,668.21,626.08,675.50,"35,796,900","23,171,412,215.00","1,502,065,170,118.67"
15-Jun-2022,699.00,+36.33,+5.48%,662.75,654.45,706.99,"39,710,645","27,152,294,585.00","1,525,236,582,333.67"
14-Jun-2022,662.67,+15.46,+2.39%,654.86,635.21,678.99,"32,662,932","21,435,886,525.00","1,498,084,287,748.67"
13-Jun-2022,647.21,-49.48,-7.10%,669.50,644.05,679.90,"34,255,754","22,515,428,746.00","1,476,648,401,223.67"
